label,text
0,"4.01. The Additional Condition of Effectiveness consists of the following namely, that, the Borrower has adopted the Project Operational Manual in form and substance satisfactory to the Bank."
0,4.02. The Effectiveness Deadline is the date ninety (90) days after the Signature Date.
0,- 3 -
0,ARTICLE V — REPRESENTATIVE; ADDRESSES
0,5.01. The Borrower's Representative is the Minister of Finance.
0,5.02. For purposes of Section 10.01 of the General Conditions: (a) the Borrower's address is:
0,Directorate General of Budget Financing and Risk Management Ministry of Finance Gedung Frans Seda Jalan DR. Wahidin Raya No. 1 Jakarta 10710 Indonesia; and
0,(b) the Borrower's Electronic Address is: Facsimile: +62-21-381-2859
0,5.03. For purposes of Section 10.01 of the General Conditions: (a) the Bank's address is:
0,"International Bank for Reconstruction and Development 1818 H Street, N.W. Washington, D.C. 20433 United States of America; and"
0,(b) the Bank's Electronic Address is:
0,Telex: Facsimile:
0,1-202-477-6391 248423(MCI) or 64145(MCI)
0,- 4-
0,AGREED as of the Signature Date.
0,REPUBLIC OF INDONESIA
0,By
0,Authorized Representative
0,Name: Luky ALFIRMAN DIRECTOR GENERAL OF BUDGET FINANCING AND RISK MANAGEMENT Title:
0,Date: OCTOBER 24 2018
0,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT
0,By
0,Authorized Representative
0,Kale Trace
0,"Name: Rolande Pece Acting Country Director. Date: September 14, 2018"
0,Title:
0,- 5 -
0,SCHEDULE 1
0,Project Description
0,The Project consists of the following parts:
0,Part 1: Increase institutional capacity to facilitate integrated and sustainable tourism development
0,Carrying out a technical assistance program designed to increase institutional capacity to facilitate integrated and sustainable tourism development and such a program to include such activities as:
0,"(a) preparation of integrated tourism master plans for Selected Tourism Destinations, preparation of related downstream sectoral master plans and studies, and institutional development and capacity building for integrated tourism destination planning, including the protection and management of World Heritage sites, Global Geoparks, and Biosphere Reserves;"
0,"(b) supporting the overall capacity of the Project implementing entities at national and subnational levels to coordinate, manage and supervise the implementation of the Project, including, inter alia: (i) carrying out of financial management, procurement, environmental and social safeguards management; (ii) monitoring, evaluation and reporting of the Project; (iii) supporting inter-ministry/agency coordination; and (iv) carrying out Project communication and dissemination activities; and"
0,"(c) supporting activities related to natural, cultural and social asset monitoring and preservation."
0,Part 2: Improve tourism-relevant road quality and basic services accessibility
0,"Carrying out Sub-projects designed to enhance the quality and condition of tourism- relevant roads, provide facilities for public transport and non-motorized transport, as well as improve access to basic services and infrastructure essential for a satisfactory tourist experience and for the preservation of natural and cultural assets, and such Sub-projects to comprise such activities as:"
0,"(a) construction, widening, improvement, reconstruction, rehabilitation, betterment and maintenance of the tourism-relevant roads including bridges;"
0,-6-
0,"(b) construction and improvement of pedestrian and non-motorized traffic facilities, development and improvement of parks and greenery and the construction and improvement of subnational facilities for public transport;"
0,"(c) construction, upgrade, rehabilitation, and expansion of infrastructure for water supply, sanitation, wastewater management and solid waste management including provision of supporting facilities, consultant services and equipment such as garbage collection trucks to support these; and"
0,(d) carrying out feasibility studies and detailed engineering designs and provision of management and supervision consultants' services required for civil works under this Part.
0,Part 3: Promote local participation in the tourism economy
0,"Carrying out a technical assistance program designed to increase participation of local firms, individuals and communities in the tourism sector and such a program to include such activities as:"
0,"(a) provision of relevant and high-quality competency-based training (CBT) and the strengthening of the certification system of the tourism sector in the Selected Tourism Destinations through, inter alia: (i) developing competency-based standards, qualification frameworks and related curriculum packages; (ii) training of trainers, teachers and assessors for improved delivery of CBT and developing related guidance materials; (iii) provision of technical assistance for technical and vocation education and training (TVET) institutions to align with private sector demands including provision of required TVET equipment; (iv) provision of training (including life-long learning) and certification; and (v) holding bi- annual tourism skill development forums;"
0,"(b) assisting local tourism firms to improve online presence and quality of service standards through, inter alia: monitoring, evaluating and providing training to improve online presence and service and quality standards of local tourism firms, including acquisition of travel website data to design related policies and programs; and"
0,"(c) re-designing, implementation, and monitoring of Ministry of Tourism's community awareness and engagement program (Sadar Wisata) through, inter alia: (i) support to increase the number of community participants in the Selected Tourism Destinations; (ii) redesign, using international best practice, Sadar Wisata program to be more focused on, and effective in,"
0,-7-
0,empowering communities in Selected Tourism Destinations to participate in tourism; and (iii) carrying out community satisfaction surveys.
0,Part 4: Enhance the enabling environment for private investment and business entry in tourism
0,Carrying out a technical assistance program to design and implement tourism destination specific investment planning to include such activities as: (a) the preparation and updating of investment project ready to offer (I-PRO); (b) market sounding activities; and (c) monitoring of investment projects.
0,-8-
0,SCHEDULE 2
0,Project Execution
0,Section I. Implementation Arrangements
0,A. Institutional Arrangements
0,1. The Borrower shall:
0,"(a) maintain until completion of the Project, the Steering Committee chaired by BAPPENAS – and comprising the Ministers from inter alia: Ministry of Tourism, Ministry of Public Works and Housing, Indonesia Investment Coordinating Board and Ministry of Finance, which shall be responsible for cross-sector coordination for tourism development, especially destination development across Indonesia, and planning-budgeting alignment;"
0,"(b) maintain until completion of the Project, the Technical Committee comprising echelon I officials from, inter alia: BAPPENAS, Ministry of Tourism, Ministry of Public Works and Housing, Indonesia Investment Coordinating Board, and Ministry of Finance, which shall be responsible for oversight of tourism development at the national level, and support to the provincial and local task forces;"
0,"(c) cause to establish prior to the commencement of Project activities in each such Province, Kabupaten/Kota, and thereafter maintain until completion of the Project, Provincial Task Forces and Kabupaten/Kota Task Forces in each of the Provinces and Kabupaten/Kota in the Selected Tourism Destinations, which shall be responsible for cross-sector coordination for tourism development at the Province/Kabupaten/Kota level, subnational government planning-budgeting alignment; and oversight of tourism development at the Province/Kabupaten/Kota level;"
0,"(d) maintain until completion of the Project, the Central Project Management Unit (CPMU) in the Regional Infrastructure Development Agency (RIDA), which shall be responsible for the management and monitoring of the Project;"
0,"(e) maintain until completion of the Project, Central Project Implementation Units (CPIUS) in the Ministry of Public Works and Housing, Indonesia Investment Coordinating Board, and the Ministry of Tourism, each of which shall be responsible for day-to-day implementation of the Project including recruitment of consultants and service providers and production of reports on the progress of the Project, in each case, with a mandate,"
0,-9-
0,composition and terms of reference as set out in the Project Operational Manual; and
0,"(f) maintain until completion of the Project, a Program Management Support Team at the national level and in each of the Selected Tourism Destinations."
0,"2. The Borrower shall provide, or cause to be provided, as the case may be, each of the Steering Committee, Technical Committee, CPMU, the CPIUS, and the Program Management Support Team (national and destination level) at all times with adequate funds (allocated in the DIPA budget) and other resources, mandate/functions, and with qualified and experienced personnel in adequate numbers, as shall be necessary to accomplish Project objectives as further detailed in the Project Operational Manual."
0,"3. Without limitation to the provision of paragraphs 1 and 2 of this Section I.A, the"
0,"Borrower, through the Ministry of Public Works and Housing, the Ministry of Tourism and BKPM, shall recruit and retain such consultants as may be needed to support the functions of the entities referred to in these paragraphs, all with composition and terms of reference acceptable to the Bank and the Borrower as further detailed in the Project Operational Manual."
0,B. Project Operational Manual
0,"1. The Borrower, through the Ministry of Public Works and Housing, the Ministry of"
0,"Tourism and BKPM, shall:"
0,"(a) prepare a Project operational manual in form and substance satisfactory to the Bank, containing detailed arrangements and procedures for implementation of the Project including, inter alia: (i) implementation arrangements including delineation of role and responsibility of various entities, institutions and agencies involved in Project implementation and their coordination; (ii) the procurement procedures and standard procurement documentation; (iii) disbursement arrangements, financial management procedures and audit procedures; (iv) procedures for preparing and reviewing a consolidated annual work plan and budget for each Fiscal Year including Counterpart Funds; (v) the Project performance indicators and monitoring and evaluation arrangements; (vi) arrangement and procedures for environment and social safeguard management; (vii) eligibility and selection criteria, procedures and arrangements for identifying, preparing, appraising and implementing Sub-projects under Part 2 of the Project; (viii) administrative boundaries of the Selected Tourism Destinations and Selected Key Tourism Areas within them; and (ix) such other administrative, financial, technical and organizational arrangements and procedures as shall be required for the Project;"
0,- 10 -
0,(b) (i) furnish to and exchange views with the Bank on such manual promptly upon its preparation; and (ii) thereafter adopt such manual as shall have been approved by the Bank (Project Operational Manual);
0,(c) ensure that the Project is implemented in accordance with the Project Operational Manual;
0,"(d) not amend, suspend, abrogate, repeal or waive any provisions of the Project Operational Manual without the prior written agreement of the Borrower and the Bank; and"
0,"(e) with the prior written agreement of the Borrower and the Bank, update the Project Operational Manual, as necessary, at all times ensuring compliance thereof with the terms of this Agreement."
0,2. In the event of any conflict between the provisions of: (a) the Project Operational
0,"Manual; and (b) those of this Agreement, the latter shall prevail."
0,C. Safeguards
0,"1. The Borrower shall ensure that the Project is carried out in accordance with the provisions of the Safeguards Instruments, and, except as the Bank shall otherwise agree in writing, the Borrower shall not assign, amend, abrogate, or waive, or permit to be assigned, amended, abrogated, or waived, any of the aforementioned, or any provision of any one thereof."
0,"2. Wherever required pursuant to the terms of the Environmental and Social Management Framework, the Borrower shall - for the purposes of a Sub-project and prior to the implementation thereof - proceed to have an environmental and social management plan:"
0,(a) prepared in form and substance satisfactory to the Bank;
0,"(b) except as otherwise agreed with the Bank in writing, submitted to the Bank for review and approval; and"
0,"(c) thereafter, adopted and locally disclosed."
0,"3. Wherever required pursuant to the terms of the Land Acquisition and Resettlement Policy Framework and / or the Indigenous Peoples Planning Framework, the Borrower shall for the purposes of a Sub-project and prior to implementation thereof proceed to have a land acquisition and resettlement action plan and / or an indigenous peoples plan, respectively:"
0,- 11 -
0,(a) prepared in form and substance satisfactory to the Bank;
0,"(b) except as otherwise agreed with the Bank in writing, submitted to the Bank for review and approval; and"
0,"(c) thereafter, adopted and locally disclosed."
0,"4. The Borrower shall ensure that all land acquisition required for the purposes of carrying out works under the Project are financed exclusively out of its own resources, and shall provide, promptly as needed, the resources needed for these purposes, including: (a) all land acquisition required for the purposes of carrying out the Project; (b) resettlement and rehabilitation payments to Project Affected Persons; and (c) all other costs associated with environmental and/or social mitigation measures set forth in the Safeguard Instruments."
0,"5. The Borrower shall ensure that all studies and technical assistance to be supported under the Project are carried out under terms of reference satisfactory to the Bank, and that such terms of reference are consistent with, and pay due attention to the Bank's Safeguards Policies."
0,6. The Borrower shall ensure that each contract for a Sub-project includes the obligation of the relevant contractor to implement the Safeguards Instruments.
0,"7. Without limitation to the provisions of Section II.1 of this Schedule 2, the Borrower shall take all measures necessary on its part to regularly collect, compile, and submit to the Bank, as part of the Project Reports, information on the status of compliance with the Safeguards Instruments, giving details of:"
0,(a) measures taken in furtherance of the Safeguards Instruments;
0,"(b) conditions, if any, which interfere or threaten to interfere with the smooth implementation of the Safeguards Instruments; and"
0,(c) remedial measures taken or required to be taken to address such conditions.
0,"8. In the event of a conflict between the provisions of any of the Safeguards Instruments and those of this Agreement, the latter shall govern."
0,Section II. Project Monitoring Reporting and Evaluation
0,"1. The Borrower shall furnish to the Bank each Project Report not later than forty- five (45) days after the end of each calendar year, covering the calendar year."
0,- 12 -
0,"2. No later than June 30, 2021, the Borrower shall, in conjunction with the Bank, carry out a mid-term review of the Project (the ""Mid-term Review”), covering the progress achieved in the implementation of the Project. To this end, the Borrower shall prepare under terms of reference satisfactory to the Bank - and furnish to the Bank not less than three (3) months prior to the beginning of the Mid-term Review, a report integrating the results of the Project's monitoring and evaluation activities, on the progress achieved in the carrying out of the Project during the period preceding the date of such report, and setting out the measures recommended to ensure the efficient carrying out of the Project and the achievement of the objective of the Project during the period following such date. Following the Mid-term Review, the Borrower shall act promptly and diligently in order to take, or cause to be taken, measures recommended to ensure the efficient completion of the Project and the achievement of the objectives, as well as any corrective action deemed necessary by the Bank to remedy any shortcoming noted in the carrying out of the Project in furtherance of the objective of the Project."
0,Section III. Procurement
0,A. General
0,"1. Goods, Works and Non-consulting Services. All goods, works and non- consulting services required for the Project and to be financed out of the proceeds of the Loan shall be procured in accordance with the requirements set forth or referred to in Section I of the Procurement Guidelines, and with the provisions of this Section."
0,2. Consultants' Services. All consultants' services required for the Project and to be financed out of the proceeds of the Loan shall be procured in accordance with the requirements set forth or referred to in Sections I and IV of the Consultant Guidelines and with the provisions of this Section.
0,"3. Definitions. The capitalized terms used below in this Section to describe particular procurement methods or methods of review by the Bank of particular contracts refer to the corresponding method described in Sections II and III of the Procurement Guidelines, or Sections II, III, IV and V of the Consultant Guidelines, as the case may be."
0,"B. Particular Methods of Procurement of Goods, Works and Non-consulting"
0,Services
0,"International Competitive Bidding. Except as otherwise provided in paragraph 2 below, goods, works and non-consulting services shall be procured under contracts awarded on the basis of International Competitive Bidding."
0,- 13-
0,"2. Other Methods of Procurement Goods, Works and Non-consulting Services. The following methods, other than International Competitive Bidding, may be used for procurement of goods, works and non-consulting services for those contracts specified in the Procurement Plan: (a) Limited International Bidding; (b) National Competitive Bidding, subject to the additional provisions set forth in the Annex to this Schedule 2; (c) Shopping; (d) Direct Contracting; (e) Procurement from United Nations Agencies; (f) Force Account; and (g) Community Participation procedures which have been found acceptable to the Bank."
0,C. Particular Methods of Procurement of Consultants' Services
0,"1. Quality and Cost-based Selection. Except as otherwise provided in paragraph 2 below, consultants' services shall be procured under contracts awarded on the basis of Quality and Cost-based Selection."
0,"2. Other Methods of Procurement of Consultants' Services. The following methods, other than Quality and Cost-based Selection, may be used for procurement of consultants' services for those contracts which are specified in the Procurement Plan: (a) Quality-based Selection; (b) Selection under a Fixed Budget; (c) Least Cost Selection; (d) Selection based on Consultants' Qualifications; (e) Single-source Selection of consulting firms; (f) Single-source procedures for the Selection of Individual Consultant; and (g) Procedures set forth in paragraphs 5.2 and 5.3 of the Consultant Guidelines for the Selection of Individual Consultant."
0,D. Review by the Bank of Procurement Decisions
0,The Procurement Plan shall set forth those contracts which shall be subject to the Bank's Prior Review. All other contracts shall be subject to Post Review by the Bank.
0,Section IV. Withdrawal of Loan Proceeds
0,A. General.
0,"Without limitation upon the provisions of Article II of the General Conditions and in accordance with the Disbursement and Financial Information Letter, the Borrower may withdraw the proceeds of the Loan to: (a) finance Eligible Expenditures; and (b) repay the Preparation Advance; in the amount allocated and, if applicable, up to the percentage set forth against each Category of the following table:"
0,- 14-
0,Category Amount of the Loan Allocated (expressed in USD)
0,"Percentage of Expenditures to be financed (inclusive of Taxes) 100% 296,000,000 (1) Goods, works, Operating Costs, Training, non-consulting services, and consulting services for the Project (2) Refund of the Preparation Advance"
0,"4,000,000 Amount payable pursuant to Section 2.07 (a) of the General Conditions TOTAL AMOUNT 300,000,000"
0,B. Withdrawal Conditions; Withdrawal Period.
0,"1. Notwithstanding the provisions of Part A above, no withdrawal shall be made for"
0,payments made prior to the Signature Date.
0,"2. The Closing Date is December 31, 2023."
0,- 15 -
0,ANNEX TO SCHEDULE 2
0,National Competitive Bidding: Modifications to Procedures
0,"The procedures applicable to the procurement of goods, works, and non-consulting services under contracts awarded on the basis of National Competitive Bidding shall be those of the Pelelangan Umum (Public Tendering) and Pemilihan Langsung / Pelelangan Sederhana (Simplified Tendering) methods as set forth in the Borrower's Presidential Regulation No. 54/2010 and its subsequent amendments as of January 16, 2015, with the modifications set out below in order to ensure economy, efficiency, transparency, and broad consistency with the provisions of Section I of the Procurement Guidelines, pursuant to paragraph 3.3 of said Guidelines. The Pemilihan Langsung / Pelelangan Sederhana method shall apply to such procurement up to the financial thresholds specified in said Regulation. In the event of a conflict between the Borrower's procedures and these modifications, the latter shall govern."
0,"1. Procuring entities shall use the appropriate standard bidding documents acceptable to the Borrower and the Bank. The provisions of Section 1.16 (Fraud and Corruption) of the Procurement Guidelines shall apply, and each bidding document and contract financed out of the proceeds of the Loan shall include provisions on matters pertaining to fraud and corruption as defined in paragraph 1.16(a) of said Guidelines and the contract provisions set out in paragraph 1.16(e) of said Guidelines."
0,"2. Foreign bidders shall not be precluded from bidding. If a registration process is required, a foreign firm determined to be the lowest evaluated responsive bidder shall be given reasonable time for registration. Foreign bidders shall not be required to form a joint venture or sub-contract part of the supply of goods, non- consulting services, and works as a condition for submitting bids or the award of the contract. Bidding documents shall be made available to all international bidders."
0,3. No preference of any kind shall be given to any bidders.
0,"4. Under the Pelelangan Umum method, bidders shall be allowed at least twenty-one (21) days from the date of the invitation to bid or the date of availability of bidding documents, whichever is later, to prepare and submit bids; this period shall be ten (10) days under the Pemilihan Langsung / Pelelangan Sederhana method."
0,5. Bids invited under the Pelelangan Umum method shall be submitted in one (1) envelope and evaluated using post-qualification.
0,6. No bidder shall be rejected merely on the basis of a comparison with the owner's estimate and budget ceiling without the Bank's prior written concurrence.
0,- 16-
0,"7. Bid security, if it is required by the bidding documents, at the bidder's option, shall be in the form of a letter of credit or guarantee from a reputable bank or other reputable financial institution and shall without exception follow the form provided for this purpose in the bidding documents."
0,8. All bids shall not be rejected and new bids solicited without the Bank's prior
0,written concurrence.
0,"9. Government-owned enterprises in Indonesia shall be eligible to participate,"
0,provided that they comply with paragraph 1.10(b) of the Procurement Guidelines.
0,- 17 -
0,SCHEDULE 3
0,Amortization Schedule
0,"The following table sets forth the Principal Payment Dates of the Loan and the percentage of the total principal amount of the Loan payable on each Principal Payment Date (""Installment Share"")."
0,Principal Payment Date
0,15 January 2025 15 July 2025 15 January 2026 15 July 2026 15 January 2027 15 July 2027 15 January 2028 15 July 2028 15 January 2029 15 July 2029 15 January 2030 15 July 2030 15 January 2031 15 July 2031
0,Installment Share (Expressed as a Percentage) 6.58
0,6.66
0,6.75
0,6.83
0,6.92
0,7.00
0,7.09
0,7.18
0,7.27
0,7.36
0,7.45
0,7.54
0,7.64
0,7.73
0,- 18-
0,APPENDIX
0,Section I. Definitions
0,"1. ""Anti-Corruption Guidelines"" means, for purposes of paragraph 5 of the Appendix to the General Conditions, the ""Guidelines on Preventing and Combating Fraud and Corruption in Projects Financed by IBRD Loans and IDA Credits and Grants”, dated October 15, 2006 and revised in January 2011."
0,"2. ""Bank's Safeguards Policies"" means the operational policies and procedures for financing of development projects by the Bank at the date of this Agreement and relating to Environmental Assessment, Natural Habitats, Pest Management, Indigenous Peoples, Physical Cultural Resources, Involuntary Resettlement, Forests, Safety of Dams, Projects on International Waterways, and Projects in Disputed Areas, as published under http://policies.worldbank.org/ to the extent they are applicable to the Project."
0,"3. “BAPPENAS” means Badan Perencanaan Pembangunan Nasional or the national development planning agency of the Borrower, or any successor thereto."
0,"4. ""Biosphere Reserve” means areas of terrestrial and coastal/marine ecosystems, or a combination thereof, which are internationally recognized within the framework of the Man and the Biosphere Programme."
0,"5. “Bupati” means a regent, an executive head of a Kabupaten."
0,"6. ""Category"" means a category set forth in the table in Section IV.A of Schedule 2 to this Agreement."
0,"7. ""Central Project Implementation Unit” or “CPIU"" means any of the units referred"
0,"to in Section I.A.1(e) of Schedule 2 to this Agreement and the terms ""Central Project Implementation Units” or “CPIUs” means all such units."
0,"8. ""Central Project Management Unit” or “CPMU” means the unit referred to in Section I.A.1(d) of Schedule 2 to this Agreement."
0,"9. ""Chance Finds Procedures"" means the preservation and proper management procedures which need to be followed as per requirements of OP/BP 4.11 Physical Cultural Resources - when objects, sites, structures, groups of structures, and natural features and landscapes (that have archaeological, paleontological, historical, architectural, religious, aesthetic, or other cultural significance) are encountered unexpectedly during project implementation."
0,.
0,- 19 -
0,"10. ""Consultant Guidelines"" means the ""Guidelines: Selection and Employment of Consultants under IBRD Loans and IDA Credits and Grants by World Bank Borrowers"" dated January 2011 (revised July 2014)."
0,"11. ""Counterpart Funds” means a minimum amount of funds required for the Project, estimated at USD 471 million equivalent, to be provided by the Borrower, through an allocation to the budget in each year."
0,"12. “DIPA” means daftar isian pelaksanaan anggaran, a government budget document setting forth the budget activity list for a Fiscal Year."
0,134
0,"""Environmental and Social Management Framework"" or ""ESMF” means the environmental and social safeguards management framework dated 19 January 2018 and adopted by the Borrower and publicly disclosed on the Bank's external website (documents & reports) on 26 January 2018, such framework setting out the principles, rules, guidelines and procedures to assess environmental and social impacts of the activities to be undertaken under the Project, and measures and plans to reduce, avoid, mitigate and/or offset adverse social and environmental impacts and enhance positive impacts of said activities, as the same may be updated from time to time in agreement with the Bank, such framework incorporating among others LARPF, IPPF, Physical and Cultural Resources Management Framework and Chance Finds Procedures and Process Framework."
0,"14. ""Environmental and Social Management Plan” means an environmental and social"
0,"management plan, acceptable to the Bank and consistent with the Environmental and Social Management Framework adopted for the purposes of a Sub-project, and giving details of the agreed actions and policies designed to maximize the benefits of the Sub-project, eliminate or offset any adverse environmental and social impacts, or reduce such impacts to acceptable levels, along with the procedural and institutional measures needed to implement such actions and policies, and ""Environmental and Social Management Plans” means, collectively, all such plans."
0,"15. ""Fiscal Year” means the Borrower's fiscal year commencing January 1 and ending December 31 of the same year."
0,"16. ""General Conditions"" means the ""International Bank for Reconstruction and Development General Conditions for IBRD Financing, Investment Project Financing”, dated July 14, 2017, with the modifications set forth in Section II of this Appendix."
0,"17. ""Global Geopark” means a single, unified geographical area where sites and landscapes of international geological significance are managed with a holistic concept of protection, education and sustainable development, designated as such pursuant to UNESCO's statutes and operational guidelines for global geoparks."
0,- 20 -
0,"18. ""Indigenous Peoples” means those social groups in the Borrower's territory that have a distinct, vulnerable, social and cultural identity, and that possess the following characteristics in varying degrees: (a) self-identification as members of a distinct indigenous cultural group and recognition of this identity by others; (b) collective attachment to geographically distinct habitats or ancestral territories in the Project area and to the natural resources in these habitats and territories; (c) customary cultural, economic, social, or political institutions that are separate from those of the dominant society and culture; and (d) an indigenous language."
0,"19. ""Indigenous Peoples Plan"" means a plan for a Sub-project, meeting the requirements of the Indigenous Peoples Planning Framework, that sets out the agreed measures to: (a) involve Indigenous Peoples, through a process of free, prior and informed consultation, in the design and implementation of the Sub- project in locations in which such people reside or make their living; (b) ensure that Indigenous Peoples affected by the Sub-project receive culturally appropriate social and economic benefits; and (c) when potential adverse effects on Indigenous Peoples are identified, those adverse effects are avoided, minimized, mitigated, or compensated for, in each case in a manner acceptable to the Bank and the Borrower, and “Indigenous Peoples Plans” means, collectively, all such plans."
0,"20. ""Indigenous Peoples Planning Framework"" or ""IPPF"" means the indigenous peoples planning framework incorporated in the ESMF, giving details of a program of actions, measures and policies designed to facilitate a process of free, prior and informed consultation involving Indigenous Peoples in the design and implementation of every Sub-project - where it is applicable and to ensure that such Indigenous Peoples derive benefits from the Sub-project which are socially, economically and culturally appropriate, and gender and inter-generational inclusive."
0,"21. ""Indonesia Investment Coordinating Board"" or ""BKPM"" means the Borrower's ministry responsible for boosting domestic and foreign direct investment through creating a conducive investment climate and any successor thereto."
0,"22. ""Kabupaten"" means a regency, an administrative division of a Province."
0,"23. ""Kabupaten/Kota Task Force” means the local government-level task force established under a decree of a Bupati or mayor, as applicable, in each Participating Kabupaten or Participating Kota, or any successor thereto."
0,"24. ""Kota” means a city, an administrative division of a Province."
0,"25. ""Land Acquisition and Resettlement Action Plan” means a resettlement and rehabilitation action plan for a Sub-project - acceptable to the Bank and the Borrower prepared pursuant to the Land Acquisition and Resettlement Policy"
0,- 21 -
0,"Framework giving details of the agreed provisions for compensation, rehabilitation and resettlement assistance to Project Affected Persons, along with the procedural and institutional measures needed to implement such agreed provisions."
0,"26. ""Land Acquisition and Resettlement Policy Framework” or “LARPF"" means the land acquisition and resettlement policy framework for the Project, acceptable to the Bank setting forth the measures and actions to be taken during the implementation of the Project for the provision of compensation, rehabilitation and resettlement assistance to Project Affected Persons and disclosed on the Bank's external website (documents & reports) on January 19, 2018 (Report No. SFG4034)."
0,"27. ""Man and the Biosphere Programme"" means UNESCO's intergovernmental"
0,scientific program launched in 1971 that aims to establish a scientific basis for the improvement of relationships between people and their environments.
0,"28. ""Ministry of Finance” means the Borrower's ministry responsible for finance or"
0,any successor thereto.
0,"29. ""Ministry of Public Works and Housing” or “MPWH” means the Borrower's ministry responsible for public works or any successor thereto."
0,"30. ""Ministry of Tourism” means the Borrower's ministry responsible for tourism or"
0,any successor thereto.
0,"31. ""Operating Costs” means the reasonable incremental operating costs under the Project, incurred by the Borrower for purposes of Project management, implementation and monitoring and evaluation, uding office suppl: and consumables, utilities, bank charges, communications, information and communication campaigns, mass media and printing services, vehicle rental, operation, maintenance and insurance, office space rental, building and equipment maintenance, travel, lodging and subsistence allowances, and salaries of contractual and temporary staff, but excluding salary and salary supplements of staff of the Borrower's civil service."
0,"32. ""Participating Kabupaten” means a Kabupaten meeting the eligibility requirements set out in the Project Operational Manual and selected to participate in the Project."
0,"33. ""Participating Kota” means a Kota meeting the eligibility requirements set out in"
0,the Project Operational Manual and selected to participate in the Project.
0,"34. ""Participating Province” means a Province meeting the eligibility requirements set out in the Project Operational Manual and selected to participate in the Project."
0,- 22-
0,"35. ""Physical and Cultural Resources Management Framework"" means the preservation and proper management when an investment may affect physical cultural resources, i.e., resources of archeological, paleontological, historical, architectural, and religious (including graveyards and burial sites), aesthetic or other cultural significance, as per requirement of Bank OP/BP4.11 Physical Cultural Resources."
